,,,,,,,,Miscellaneous,Miscellaneous,Miscellaneous,Team Shooting,Team Shooting,Team,Team,Team,Team,Opponent Shooting,Opponent Shooting,Opponent,Opponent,Opponent,Opponent
Rk,Season,Team,Seed,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,eFG%,TS%,TOV%,ORB%,DRB%,FTr
278,1983-84,SMU,9,33,25,8,.758,,,,.541,.559,20.4,,,.387,.446,.471,18.0,,,.207
279,1983-84,St. John's (NY),9,30,18,12,.600,,,,.532,.574,19.5,,,.475,.469,.503,16.8,,,.302
280,1983-84,Syracuse,3,32,23,9,.719,,,,.508,.549,17.1,,,.352,.461,.501,18.8,,,.387
281,1983-84,Temple,8,31,26,5,.839,,,,.477,.524,,,,.418,.462,.503,,,,.368
282,1983-84,UTEP,4,31,27,4,.871,,,,.476,.525,15.8,,,.491,.440,.482,17.8,,,.425
283,1983-84,Tulsa,4,31,27,4,.871,,,,.527,.566,16.2,,,.416,.470,.512,22.2,,,.416
284,1983-84,Villanova,7,31,19,12,.613,,,,.520,.564,,,,.473,.484,.521,,,,.398
285,1983-84,Virginia,7,33,21,12,.636,,,,.503,.535,,,,.396,.470,.511,,,,.377
286,1983-84,VCU,6,30,23,7,.767,,,,.507,.544,17.2,,,.397,.462,.497,19.1,,,.307
287,1983-84,Wake Forest,4,32,23,9,.719,,,,.501,.544,,,,.388,.476,.505,,,,.269
288,1983-84,Washington,6,31,24,7,.774,,,,.484,.512,18.1,,,.364,.436,.496,21.2,,,.502
289,1983-84,West Virginia,11,32,20,12,.625,,,,.484,.524,19.2,,,.448,.464,.503,18.6,,,.381
290,1984-85,Alabama,7,33,23,10,.697,,,,.506,.543,,,,.398,.428,.468,,,,.348
291,1984-85,UAB,7,34,25,9,.735,,,,.452,.486,13.6,,,.392,.438,.478,,,,.364
292,1984-85,Arizona,10,31,21,10,.677,,,,.521,.556,,,,.467,.459,.498,,,,.355
293,1984-85,Arkansas,9,35,22,13,.629,,,,.515,.544,20.4,,,.430,.492,.529,21.0,,,.394
294,1984-85,Auburn,11,34,22,12,.647,,,,.498,.519,,,,.273,.468,.492,,,,.265
295,1984-85,Boston College,11,31,20,11,.645,,,,.492,.533,,,,.409,.468,.505,,,,.417
296,1984-85,Dayton,9,29,19,10,.655,,,,.504,.545,16.5,,,.423,.468,.502,17.8,,,.320
297,1984-85,DePaul,10,29,19,10,.655,,,,.494,.533,,,,.361,.447,.490,,,,.365
298,1984-85,Duke,3,31,23,8,.742,,,,.527,.561,16.6,,,.437,.469,.503,20.0,,,.305
299,1984-85,Fairleigh Dickinson,16,31,21,10,.677,,,,.500,.540,,,,.486,.454,.492,,,,.363
300,1984-85,Georgetown,1,38,35,3,.921,,,,.509,.536,,,,.390,.404,.451,,,,.355
301,1984-85,Georgia,6,31,22,9,.710,,,,.517,.542,13.3,,,.338,.482,.513,16.6,,,.328
302,1984-85,Georgia Tech,2,35,27,8,.771,,,,.516,.555,,,,.435,.443,.476,,,,.255
303,1984-85,Illinois,3,35,26,9,.743,,,,.486,.520,16.3,,,.326,.418,.449,19.2,,,.253
304,1984-85,Illinois State,9,30,22,8,.733,,,,.516,.555,,,,.380,.453,.494,,,,.349
305,1984-85,Iona,13,31,26,5,.839,,,,.538,.574,,,,.436,.486,.513,,,,.321
306,1984-85,Iowa,8,32,21,11,.656,,,,.482,.515,,,,.365,.420,.455,,,,.278
307,1984-85,Iowa State,13,34,21,13,.618,,,,.512,.546,,,,.339,.480,.516,,,,.328
308,1984-85,Kansas,3,34,26,8,.765,,,,.537,.571,18.8,,,.386,.444,.490,16.9,,,.362
309,1984-85,Kentucky,12,31,18,13,.581,,,,.457,.505,16.0,,,.402,.473,.510,16.8,,,.349
310,1984-85,Lehigh,16,31,12,19,.387,,,,.470,.511,,,,.368,.502,.541,,,,.389
311,1984-85,Louisiana State,4,29,19,10,.655,,,,.501,.533,,,,.304,.472,.520,,,,.388
312,1984-85,Louisiana Tech,5,32,29,3,.906,,,,.520,.549,17.7,,,.438,.448,.484,21.4,,,.308
313,1984-85,Loyola Chicago,4,33,27,6,.818,,,,.489,.522,13.5,,,.301,.471,.503,15.8,,,.270
314,1984-85,Marshall,15,34,21,13,.618,,,,.501,.532,,,,.434,.471,.516,,,,.472
315,1984-85,Maryland,5,37,25,12,.676,,,,.503,.542,,,,.343,.459,.493,,,,.298
316,1984-85,Memphis State,2,35,31,4,.886,,,,.499,.537,,,,.355,.423,.460,,,,.266
317,1984-85,Mercer,15,31,22,9,.710,,,,.522,.555,,,,.382,.456,.487,,,,.348
318,1984-85,Miami (OH),12,31,20,11,.645,,,,.480,.524,,,,.395,.470,.506,,,,.389
319,1984-85,Michigan,1,30,26,4,.867,,,,.513,.549,16.7,,,.350,.494,.527,18.9,,,.287
320,1984-85,Michigan State,10,29,19,10,.655,,,,.537,.570,18.8,,,.374,.443,.486,14.8,,,.335
321,1984-85,Middle Tennessee,15,31,17,14,.548,,,,.453,.483,16.2,,,.305,.465,.505,18.4,,,.407
322,1984-85,Navy,13,32,26,6,.813,,,,.548,.589,,,,.492,.425,.449,,,,.203
323,1984-85,Nevada,14,31,21,10,.677,,,,.473,.529,15.0,,,.353,.453,.486,16.3,,,.284
324,1984-85,UNLV,4,32,28,4,.875,,,,.490,.523,15.9,,,.341,.440,.480,19.8,,,.386
325,1984-85,North Carolina,2,36,27,9,.750,,,,.540,.580,19.6,,,.389,.450,.479,15.4,,,.273
326,1984-85,North Carolina A&T,16,29,19,10,.655,,,,.490,.525,14.8,,,.369,.435,.468,16.1,,,.306
327,1984-85,NC State,3,33,23,10,.697,,,,.496,.529,16.2,,,.376,.460,.494,18.2,,,.293
328,1984-85,Northeastern,14,31,22,9,.710,,,,.514,.554,18.2,,,.394,.466,.512,20.8,,,.374
329,1984-85,Notre Dame,7,30,21,9,.700,,,,.463,.521,,,,.471,.464,.508,,,,.374
330,1984-85,Ohio,14,30,22,8,.733,,,,.472,.514,,,,.416,.445,.494,,,,.459
331,1984-85,Ohio State,4,30,20,10,.667,,,,.504,.543,15.4,,,.333,.493,.525,18.1,,,.309
332,1984-85,Oklahoma,1,37,31,6,.838,,,,.509,.543,12.9,,,.354,.458,.501,18.1,,,.337
333,1984-85,Old Dominion,12,31,19,12,.613,,,,.464,.504,,,,.388,.493,.525,,,,.284
334,1984-85,Oregon State,10,31,22,9,.710,,,,.525,.558,18.8,,,.458,.486,.528,21.4,,,.364
335,1984-85,Pennsylvania,15,27,13,14,.481,,,,.479,.520,17.8,,,.385,.482,.529,19.7,,,.484
336,1984-85,Pepperdine,14,32,23,9,.719,,,,.506,.541,,,,.371,.473,.505,,,,.353
